Country_x,ISO3,Year,GHG_Emissions,GDP_USD,Country_y,Unit,Population,GDPperCapita,GHGperCapita,Emission_Intensity,ln_GDPpc,ln_Emissions_pc,income_group
Brazil,BRA,2021,1277187.0414328,1670647464062.96,Brazil,Persons,209550294.0,7972.536960806936,0.0060948950108979565,7.644862658976077e-07,8.98375803491071,-5.100303741644685,Upper-Middle
Brazil,BRA,2022,1278542.1699747,1951923832083.87,Brazil,Persons,210306415.0,9281.332821368622,0.006079425442037515,6.550164248006189e-07,9.13576043845976,-5.102845087134319,Upper-Middle
Brazil,BRA,2023,1297170.7496717,2191131869706.02,Brazil,Persons,211140729.0,10377.589771919467,0.006143631102418425,5.920094393249544e-07,9.247403930520417,-5.0923393268634385,Upper-Middle
Brazil,BRA,2024,1299180.2084395,2185821648943.86,Brazil,Persons,211998573.0,10310.54887781655,0.0061282497804336636,5.943669782332126e-07,9.24092281301553,-5.094846086859902,Upper-Middle
Canada,CAN,1999,701352.05814641,678412196271.118,Canada,Persons,30599456.0,22170.727357738582,0.02292040937415391,1.033814046978195e-06,10.00652811026968,-3.7757275262936245,High
Canada,CAN,2000,724389.00676769,744773415931.587,Canada,Persons,30891803.0,24109.095086861296,0.023449230424254938,9.726300526739403e-07,10.09034443778156,-3.7529176023573627,High
Canada,CAN,2001,715458.04527003,738981792355.372,Canada,Persons,31213577.0,23675.011433498057,0.022921373134198304,9.68167352255914e-07,10.072175400989666,-3.775685479061087,High
Canada,CAN,2002,737719.22747112,760649334098.005,Canada,Persons,31535577.0,24120.35568900499,0.023393237024682313,9.698545629385504e-07,10.09081139737439,-3.755308314430883,High
Canada,CAN,2003,757219.62987757,895540646634.787,Canada,Persons,31836482.0,28129.38460457996,0.023784651516382056,8.45544680437463e-07,10.244570024407771,-3.7387148006081237,High
Canada,CAN,2004,745884.39063278,1026690238278.25,Canada,Persons,32132678.0,31951.592652135936,0.023212643236047117,7.264940902561041e-07,10.371977306830463,-3.763058181679503,High
Canada,CAN,2005,767172.94137536,1173108598778.68,Canada,Persons,32440173.0,36162.21771624584,0.02364885481268426,6.53965832467737e-07,10.495770143273857,-3.7444405875132407,High
Canada,CAN,2006,763161.57371932,1319264809590.97,Canada,Persons,32759171.0,40271.6176667282,0.023296119847456456,5.784748961476003e-07,10.6034022235559,-3.759468462430251,High
Canada,CAN,2007,784751.05186479,1468820407783.26,Canada,Persons,33092171.0,44385.73727251863,0.023714099986513124,5.342729769455847e-07,10.700673464213141,-3.7416854716056016,High
Canada,CAN,2008,760763.6664819,1552989690721.65,Canada,Persons,33449085.0,46428.46555359137,0.022743930558396443,4.898703906581537e-07,10.745668031869775,-3.783456957821513,High
Canada,CAN,2009,720439.799182,1374625142157.29,Canada,Persons,33826370.0,40637.678301197855,0.021298170604235687,5.240990995198634e-07,10.612450952205066,-3.849134097080353,High
Canada,CAN,2010,741340.05452078,1617343367486.26,Canada,Persons,34196899.0,47295.030098672396,0.021678575432257177,4.583689953686214e-07,10.76416049704991,-3.8314308134138386,High
Canada,CAN,2011,758562.96529785,1793326630174.52,Canada,Persons,34555452.0,51897.06765156827,0.021952048704148044,4.2299208216410044e-07,10.857017567588013,-3.8188948087754873,High
Canada,CAN,2012,754665.39323911,1828366481521.6,Canada,Persons,34922516.0,52354.94720717145,0.021609708568509498,4.127538985570681e-07,10.865801714358366,-3.8346125945094154,High
Canada,CAN,2013,765478.3478238,1846597421834.98,Canada,Persons,35293433.0,52321.275230861786,0.021688973918286725,4.1453450479917683e-07,10.865158359512598,-3.830951261934239,High
Canada,CAN,2014,776273.89200964,1805749878439.94,Canada,Persons,35634264.0,50674.538372391806,0.021784479455213106,4.2989004251258446e-07,10.833178861705779,-3.8265575143407147,High
Canada,CAN,2015,768754.48920581,1556508816217.14,Canada,Persons,35962234.0,43281.760977839695,0.021376716730273488,4.93896649473629e-07,10.675486600720347,-3.8454529525177836,High
Canada,CAN,2016,765244.95954731,1527994741907.43,Canada,Persons,36353343.0,42031.753225760556,0.021050195013628047,5.008164874913363e-07,10.646180640804179,-3.86084545459129,High
